what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1369218008954
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1369218008959
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1369218008959
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1369218008960
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1369218008978
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1369218009017
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1369218009030
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1369218009036
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1369218009049
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1369218009059
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1369218009059
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1369218009068
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1369218009077
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1369218009077
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1369218009083
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1369218009092
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1369218009104
os,sysinfo,,,"linux",1369218009107
arch,sysinfo,,,"x86",1369218009107
ws,sysinfo,,,"gtk",1369218009107
locale,sysinfo,,,"en_US",1369218009107
processors,sysinfo,,,"4",1369218009107
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1369218009107
java.runtime.version,sysinfo,,,"1.7.0_09-b30",1369218009107
java.specification.name,sysinfo,,,"Java Platform API Specification",1369218009107
java.specification.vendor,sysinfo,,,"Oracle Corporation",1369218009107
java.specification.version,sysinfo,,,"1.7",1369218009107
java.vendor,sysinfo,,,"Oracle Corporation",1369218009107
java.version,sysinfo,,,"1.7.0_09",1369218009107
java.vm.info,sysinfo,,,"mixed mode, sharing",1369218009107
java.vm.name,sysinfo,,,"OpenJDK Client VM",1369218009107
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369218009107
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1369218009107
java.vm.specification.version,sysinfo,,,"1.7",1369218009107
java.vm.vendor,sysinfo,,,"Oracle Corporation",1369218009107
java.vm.version,sysinfo,,,"23.2-b09",1369218009107
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1369218009195
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1369218009225
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1369218009345
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1369218009368
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1369218009386
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1369218009538
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1369218009540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369218011289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369218012233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369218830289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369218832330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369218977879
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369218988817
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369218994443
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369218994625
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369218994652
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369218994735
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369219011992
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369219012113
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1369219012179
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1369219012216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369219016482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369220705947
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369220709698
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369220709927
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369220709963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369220710254
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1369220715399
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369220715577
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1369220715602
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369220716140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369220784579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1369220786262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1369220788541
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1369220789144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369220789642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369220792619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369220800050
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221041728
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221041855
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1369221041915
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1369221049211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369221051090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221058036
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1369221058064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369221064261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221082744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221089240
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221093511
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221094418
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1369221099754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369221101938
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221135560
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1369221135589
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221140486
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1369221140492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1369221144886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221150716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221216963
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369221217055
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221217704
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1369221217732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369221218067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221224755
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221229687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221231484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221253322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221257141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369221262865
